sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
彝陵春色起，渐拟放扁舟。	杜甫	白帝城楼		0		
绘像报德，公夫人兮。	皎然	画药师琉璃光佛赞		0		
一入吴王殿，无人睹翠娥。	白居易	吴宫辞		0		
寝门是仰，驰道不绝。	不详	郊庙歌辞 享节悯太子庙乐章 迎神		0		
同为懒慢园林客，共对萧条雨雪天。	白居易	雪夜小饮赠梦得		0		
斸尽春山土，辛勤卖药翁。	李群玉	嘲卖药翁		0		
众芳春竞发，寒菊露偏滋。	朱湾	秋夜宴王郎中宅赋得露中菊		0		
他日忆君何处望，九天香满碧萧骚。	杜牧	寄沈褒秀才		0		
西风萧萧兮湘水悠悠，白芷芳歇兮江蓠秋。	水神	霅溪夜宴诗 其八		0		
蒸处已将蕉叶裹，熟时兼用杏浆浇。	村寺僧	蒸豚		0		
秋宵睡足芭蕉雨，又是江湖入梦来。	汪遵	咏酒二首 其二		0		
慢牵欲傍樱桃泊，借问谁家花最红。	白居易	小舫		0		
梁王已去明月在，黄鹂愁醉啼春风。	李白	携妓登梁王栖霞山孟氏桃园中		0		
舟也衣䌽衣，告我欲远适。	杜甫	送李校书二十六韵		0		
西缘十里馀，北上开化阁。	吴少微	和崔侍御日用游开化寺阁		0		
顾惟菲质，忝位椒宫。	不详	郊庙歌辞 享太庙乐章 诚敬		0		
乘槎若有便，希泛广陵潮。	孔德绍	送蔡君知入蜀二首 其二		0		
险峭虽从笔下成，精能皆自意中生。	方干	观项信水墨		0		
待君女嫁后，及我官满时。	白居易	昔与微之在朝日同蓄休退之心迨今十年沦落老人追寻前约且结后期		0		
色艳莺犹在，香消蝶已回。	朱庆馀	废宅花		0		
天命有所悬，安得苦愁思。	李白	流夜郎永华寺寄寻阳群官		0		
幽声听难尽，入夜睡常迟。	白居易	新池		0		
水入北湖去，舟从南浦回。	李白	陪从祖济南太守泛鹊山湖三首 其三		0		
洞庭㳽漫接天回，一点君山似措杯。	元稹	遭风二十韵		0		
城中百万家，冤哀杂丝管。	元稹	遣兴十首 其二		0		
圣明所兴国，灵岳固不殚。	李益	北至太原		0		
幸有辅车，非无龂腭。	白居易	齿落辞		0		
岩花落处见朱顶，夜雨来时闻唳声。	李翔	石鹤		0		
合成双凤花，宛转不相离。	王建	邯郸主人		0		
浮亭花竹频劳梦，别路风烟半是愁。	牟融	客中作		0		
年华初冠带，文体旧弓裘。	李嘉祐	送王牧往吉州谒王使君叔		0		
江上山头寺，景留吟客船。	杜荀鹤	题江山寺		0		
孤蝶小徘徊，翩翾粉翅开。	李商隐	蝶		0		
幽人重其德，徙植临前堂。	王绩	古意六首 其五		0		
今日元家宅，樱桃发几枝。	白居易	元家花		0		
画象垂新令，消兵易旧谟。	李绅	趋翰苑遭诬搆四十六韵		0		
两既忽相逢，终须一个死。	王梵志	回波乐 其八十九		0		
鸟啄冰潭玉镜开，风敲檐溜水晶折。	无名氏	白雪歌		0		
人间欢乐无过此，上界西方即不知。	白居易	与牛家妓乐雨后合宴		0		
尘忝亲近地，孤负圣明恩。	白居易	郡中春宴因赠诸客		0		
葳蕤凌风竹，寂寞离人觞。	李益	城西竹园送裴佶王达		0		
月色遍秋露，竹声兼夜泉。	李嶷	林园秋夜作		0		
后溪暗起鲤鱼风，船旗闪断芙蓉干。	李商隐	其二 湖中		0		
觉悟因傍喻，迷执由当局。	白居易	和梦游春诗一百韵		0		
岂知经史深相误，两鬓垂丝百事休。	方干	山中言事八韵寄李支使		0		
花桃微散红，萠兰稍开紫。	无名氏	和诗阶诗 其一		0		
貌古因持戒，身贫为少求。	慧寂	上洞山颂		0		
声来枕上千年鹤，影落杯中五老峰。	白居易	题元八溪居		0		
空路不堪望，西风白浪稠。	李群玉	登章华楼		0		
平盖山高古木疏，昔人曾此筑仙居。	无名氏	平盖山		0		
杯盂未称尝生酒，砧杵先催试熟衣。	方干	秋晚林中寄宾幕		0		
和气来无象，物情还暗新。	李中	春日作		0		
唯有多情元侍御，绣衣不惜拂尘看。	白居易	酬和元九东川路诗十二首 骆口驿旧题诗		0		
讵舍贫病域，不疲生死流。	王维	与胡居士皆病寄此诗兼示学人二首 其二		0		
既作才鬼终，恐为仙籍售。	皮日休	鲁望读襄阳耆旧传见赠五百言过褒庸材靡有称是然襄阳曩事历历在目夫耆旧传所未载者汉阳王则宗社元勋孟浩然则文章大匠予次而赞之因而寄荅亦诗人无言不詶之义也次韵		0		
秋雨空山夜，非君不此来。	吴融	山居喜友人相访		0		
落絮已随流水去，啼莺还傍夕阳来。	吴融	浐水席上献座主侍郎		0		
会稽山上云，化作越溪人。	于濆	越溪女		0		
晓鼓声已半，离筵坐难久。	白居易	晓别		0		
如何一别故园后，五度花开五处看。	李频	春日旅舍		0		
定知相见日，烂漫倒芳尊。	杜甫	寄高适		0		
江村摇落暮蝉鸣，执手临岐动别情。	李中	送夏侯秀才		0		
将谓岭头闲得了，夕阳犹挂数枝云。	成彦雄	松		0		
君看魏帝邺都里，惟有铜台漳水流。	李嘉祐	古兴		0		
山头老桂吹古香，雌龙怨吟寒水光。	李贺	帝子歌		0		
穷达他年如赋命，且陶真性一杯中。	李咸用	冬日喜逢吴价		0		
开以九籥，转之一毂。	李商隐	梓州道兴观碑铭		0		
坚冰一时合，井深冻不成。	元稹	分水岭		0		
朝来暮去星霜换，阴惨阳舒气序牵。	白居易	岁晚旅望		0		
何事出长洲，连宵饮不休。	白居易	望亭驿酬别周判官		0		
转曲遥峰出，看涛极浦连。	李嘉祐	送独孤拾遗先辈先赴上都		0		
少年苦不久，顾慕良难哉。	李商隐	戏题枢言草阁三十二韵		0		
吾高鸱夷子，身退无瑕摘。	皎然	苕溪草堂自大历三年夏新营洎秋及春弥觉境胜因纪其事简潘丞述汤评事衡四十三韵		0		
文王感昔梦，授政道斯全。	吴筠	其六 臧丈人		0		
劲叶森利剑，孤茎挺端标。	白居易	栽杉		0		
塞外貔将虎，池中鸳与鸾。	李颀	送司农崔丞		0		
凉风西海来，直渡洞庭水。	李群玉	湖中古愁三首 其一		0		
立语花堤上，行吟水寺前。	白居易	晚兴		0		
得禄奴婢餐，请赐妻儿著。	王梵志	其一百三		0		
旷达机何有，深沈器莫量。	皎然	因游支硎寺寄邢端公		0		
感物私自念，我心亦如之。	白居易	秋怀		0		
何日通燕塞，相看老蜀门。	杜甫	送裴五赴东川		0		
鹤去巢盛月，龙潜穴拥云。	杜荀鹤	秋宿栖贤寺怀友人		0		
不堪逢苦热，犹赖是闲人。	白居易	苦热		0		
寄情与流水，但有长相思。	李白	泾川送族弟錞		0		
晓入洞庭阔，暮归巫峡深。	杜牧	云		0		
琼杯传素液，金匕进雕胡。	元稹	春分投简阳明洞天作		0		
捧拥罗将绮，趋跄紫与朱。	白居易	和微之春日投简阳明洞天五十韵		0		
䌽棹浮太液，清觞醉习家。	李峤	池		0		
独残新碧树，犹拥旧朱门。	于武陵	过侯王故第		0		
野火烧不尽，春风吹又生。	白居易	赋得古原草送别		0		
赭衣登蜀道，白首别秦川。	杜淹	寄赠齐公		0		
高斋常见野，愁坐更临门。	杜甫	愁坐		0		
巢岸南分战鸟山，水云程尽到东关。	李涉	送王六觐巢县叔父二首 其一		0		
风铎喧行漏，天花拂舞行。	宋之问	奉和圣制闰九月九日登庄严总持二寺阁		0		
六月晨亦热，卑居多烦昏。	王建	从元太守夏宴西楼		0		
日暮麦登场，天晴蚕坼簇。	白居易	孟夏思渭村旧居寄舍弟		0		
旅馆当年葺，公才此日论。	杜牧	川守大夫刘公早岁寓居敦行里肆有题壁十韵今之置第乃获旧居洛下大僚因有唱和叹咏不足辄献此诗		0		
门门走马徵兵急，公子笙歌醉玉楼。	子兰	长安早秋		0		
入被銮舆宠，出视辕门勇。	王勃	陇西行 其四		0		
突兀方相胫，鳞皴夏氏胝。	皮日休	虎丘寺殿前有古杉一本形状丑怪图之不尽况百卉竞媚若妒若媢娼唯此杉死抱奇节髐然闯然不知雨露之可生也风霜之可瘁也乃造化者方外之材乎遂赋三百言以见志		0		
白石孤标逸鹤形，古人随类巧安名。	李翔	石鹤		0		
螺蠃时时上几案，蛙黾往往跳琴书。	皮日休	杂体诗 其一 苦雨杂言寄鲁望		0		
黄花县西九折坂，玉树宫南五丈原。	王维	送崔五太守		0		
冰壶通角簟，金镜彻云屏。	元稹	饮致用神曲酒三十韵		0		
似盖芳初合，如丝荫渐成。	丁位	小苑春望宫池柳色		0		
只因明月见，千里两相思。	杜牧	偶题二首 其二		0		
风疾侵凌临老头，血凝筋滞不调柔。	白居易	病中诗十五首 枕上作		0		
超遥长路首，怅望空林杪。	皎然	奉酬颜使君真卿王员外圆宿寺兼送员外使回		0		
曝裈还当屋，张幕便成天。	李端	晚春过夏侯校书值其沉醉戏赠		0		
种竹交加翠，栽桃烂熳红。	杜甫	春日江村五首 其三		0		
晃朗扶桑出，绵联杞树周。	李乂	奉和晦日幸昆明池应制		0		
贻厥孙谋，寿万春兮。	皎然	画药师琉璃光佛赞		0		
翻霞散锦，倒日澄明。	李世民	晋祠铭		0		
神物谅不测，绝境尤难穷。	皮日休	其八 缥缈峰		0		
法筵会早秋，驾言访禅扃。	李适	七月十五日题章敬寺		0		
无心亦无滞，舒卷在东风。	李中	春云		0		
落藤斜引蔓，伏笋暗抽芽。	王绩	山家夏日九首 其一		0		
忽思庄生言，亦拟鞭其后。	白居易	隐几赠客		0		
利器必先举，非贤安可任。	王昌龄	上侍御士兄		0		
往事共销沈，前期各衰晚。	元稹	酬杨司业十二兄早秋述情见寄		0		
前日狂风昨夜雨，残芳更合得存无。	白居易	惜小园花		0		
红炉迸溅炼金英，一点灵珠透室明。	吕岩	七言 其六十		0		
无常忽到一生休，不修实是愚痴意。	敦煌曲子	其二 调名本意九首		0		
慈威示物虽凛凛，在德无秋唯有春。	皎然	周长史昉画毗沙门天王歌		0		
吴宫花草埋幽径，晋代衣冠成古丘。	李白	登金陵凤凰台		0		
软褥短屏风，昏昏醉卧翁。	白居易	闲卧寄刘同州		0		
石壁江城后，篮舆晚暂登。	李嘉祐	五言登郡北佛龛一首		0		
亦应不得多年听，未教成时已白头。	白居易	伊州		0		
妾家非豪门，官赋日相追。	司马扎	蚕女		0		
青风隐何处，草树不动摇。	白居易	月夜登阁避暑		0		
懒嫌吟客倚，甘畏夏虫伤。	李建勋	新竹		0		
日晚长烟高岸近，天寒积雪远峰低。	李嘉祐	送从弟永任饶州录事参军		0		
建旄北伐，细柳宵屯。	吕温	其二十一 段褒公志元		0		
抱瓮灌秋蔬，心闲游天云。	李白	赠张公洲革处士		0		
八月梓人功既休，戊寅大钟成。	李翱	泗州开元寺钟铭		0		
纵有衰蓬欲成就，旋被流沙剪断根。	佚名	王昭君变文 其一		0		
屯兵凤皇山，帐殿泾渭辟。	杜甫	八哀诗 其一 赠司空王公思礼		0		
汉庭谒者休言事，鲁国诸生莫问津。	李咸用	依韵修睦上人山居十首 其五		0		
山风吹游子，缥缈乘险绝。	杜甫	铁堂峡		0		
原生衣百结，颜子食一箪。	白居易	效陶潜体诗十六首 其九		0		
白云秋色远，苍岭夕阳高。	司空曙	遇谷口道士		0		
海门凝雾暗，江渚湿云横。	李绅	渡西陵十六韵		0		
清风吹歌人空去，歌曲自绕行云飞。	李白	忆旧游寄谯郡元参军		0		
风生原野翠痕充，涧曲峦隈小径通。	吕从庆	春日往栅山吟诗于驴子背上未即就误入侧径为丛莽所缚卒成之 其一		0		
燕脂漠漠桃花浅，青黛微微柳叶新。	白居易	任氏行 其二		0		
恨无闲地栽仙药，长傍人家看好花。	王建	人家看花		0		
绿竿初长笋，红颗未开莲。	戎昱	玉台体题湖上亭		0		
有文如星宿，飞入我胸臆。	朱昼	喜陈懿老示新制		0		
人之恶我，我思其由。	李翱	行己箴		0		
西眉南脸人中美，或者皆闻无所利。	李咸用	巫山高		0		
山有石，石有玉。	不详	王璠石铭		0		
龙皮相排戛，翠羽更荡掉。	李贺	春归昌谷		0		
江山九秋后，风月六朝馀。	杜牧	许七侍御弃官东归潇洒江南颇闻自适高秋企望题诗寄赠十韵		0		
远天明月出，照此谁家楼。	于武陵	高楼		0		
烂熳绿苔前，婵娟青草里。	李端	鲜于少府宅看花		0		
秦王敢质三边滞，千番万里筑城长。	敦煌曲子	其三 孟姜女六首		0		
悬灯乔木上，鸣磬乱幡中。	于鹄	赠兰若僧		0		
桂枝博得凤栖枝，欢觐家僮舞翠微。	李洞	送郤先辈归觐华阴		0		
醉卧西窗下，时闻雁响高。	戎昱	冬夜宴梁十三厅		0		
稽首环金坛，焚香陟瑶砌。	吴筠	缑山庙		0		
吾道本无我，未曾嫌世人。	皎然	寓言		0		
从来简帝心，讵得回天步。	王维	奉和圣制御春明楼临右相园亭赋乐贤诗应制		0		
更向巴陵宿，堪闻雁北飞。	李端	江上别柳中庸		0		
松疏露孤驿，花密藏回滩。	岑参	早上五盘岭		0		
闲骑白鹿游三岛，闷驾青牛看十洲。	吕岩	七言 其六十九		0		
歌阕解携去，信非吾辈流。	杜牧	洛中送冀处士东游		0		
圣德期昌运，雍熙万宇清。	不详	舞曲歌辞 凯乐歌辞 应圣期		0		
出饯阙相从，心随过前岭。	皎然	送陆侍御士佳赴上京		0		
舞籥千门度，帷屏百道流。	沈佺期	三日独坐驩州思忆旧游		0		
终言作书处，上直金銮东。	元稹	酬乐天书怀见寄		0		
处以德为藩，出则道可行。	皎然	奉陪杨使君顼送段校书赴南海幕		0		
崇崇泰坛，灵具临兮。	不详	郊庙歌辞 祀九宫贵神乐章 其一 豫和		0		
咬咬嘎嘎水禽声，露洗松阴满院清。	李山甫	方干隐居		0		
向栩非才徒隐灶，田文有命那关户。	李端	杂歌		0		
柳梢黄嫩草芽新，又入开成第四春。	白居易	四年春		0		
九位既肃，万灵毕会。	不详	郊庙歌辞 祀九宫贵神乐章 其一 豫和		0		
行见日月疾，坐思道路长。	王建	远征归		0		
不知远郡何时到，犹喜全家此去同。	白居易	入峡次巴东		0		
中有逐凉人，单床独栖息。	白居易	晚凉偶咏		0		
五马正相望，双鱼忽前堕。	白居易	郡斋暇日辱常州陈郎中使君早春晚坐水西馆书事诗十六韵见寄亦以十六韵酬之		0		
发祇乃祀，咳叹如闻。	杜羔	郊庙歌辞 享惠昭太子庙乐章 登歌		0		
早农半华实，夕水含风凉。	元稹	玉泉道中作		0		
时出碧鸡坊，西郊向草堂。	杜甫	西郊		0		
但毕河车功，不用堤防虑。	无名氏	张华真人二味口诀		0		
仙圣非相远，昭昭寤寐间。	丁泽	上元日梦王母献白玉环		0		
绿树秦京道，青云洛水桥。	宋之问	早发韶州		0		
帛度两星屠肆前，候星还在帝坐边。	王希明	丹元子步天歌 天市垣		0		
色变云迎夏，声残鸟过春。	白居易	自到郡斋仅经旬日方专公务未及宴游偷闲走笔题二十四韵兼寄常州贾舍人湖州崔郎中仍呈吴中诸客		0		
荷塘翻露气，稻垄泻泉声。	白居易	早发楚城驿		0		
髣髴随风驭，迢遥出晓雰。	李应	立春日晓望三素云		0		
梨笑清都月，蜂游紫殿春。	元稹	其五 其二		0		
苍苔浊酒林中静，碧水春风野外昏。	杜甫	绝句漫兴九首 其六		0		
顾吾漫浪久，不欲有所拘。	元结	游潓泉示泉上学者		0		
目断南浦云，心醉东郊柳。	宋之问	送赵六贞固		0		
西施越溪女，出自苧萝山。	李白	西施		0		
荣分上邸，业盛文场。	王勃	其三 艺文第三		0		
万事固如此，人生无定期。	李白	古风 其五十九		0		
病渴三更回白首，传声一注湿青云。	杜甫	示獠奴阿段		0		
朝班尽说人宜紫，洞府应无鹤着绯。	司空图	戏题试衫		0		
言之无兮不可舍，言之有兮不可居。	吕岩	谷神歌		0		
僧炉风雪夜，相对眠一褐。	杜牧	池州送孟迟先辈		0		
风轻粉蝶喜，花暖蜜蜂喧。	杜甫	弊庐遣兴奉寄严公		0		
古今悉不知天意，偏把云霞媚一方。	方干	题松江驿		0		
穰苴司马法，张良黄石术。	李商隐	骄儿诗		0		
烧香翠羽帐，看舞郁金裙。	杜牧	送容州唐中丞赴镇		0		
一自凤池承密旨，今因世路接馀光。	朱庆馀	上翰林李舍人		0		
斗设狂为好，谁忧饮败名。	元稹	答姨兄胡灵之见寄五十韵		0		
莫言昨日因错磨，看取从来无点缺。	皎然	桃花石枕歌赠康从事		0		
岁远关犹固，时移草亦春。	于武陵	春过函谷关		0		
泗滨浮石裁为磬，古乐疏音少人听。	元稹	其二 华原磬		0		
樵采为侵征虏墓，耕耘犹就破羌屯。	吕温	经河源军汉村作		0		
诚是君子心，恐非草木情。	白居易	其三 荅桐花		0		
风涛曾阻化鳞来，谁料蓬瀛路却开。	司空图	纶阁有感		0		
有学无学万余人，助佛弘宣一大事。	敦煌曲子	其四 维摩托疾二十八首		0		
岂是贪衣食，感君心缱绻。	白居易	寄元九		0		
煎药惟忧涩，停灯又怕明。	李中	秋夕病中作		0		
酒肆人间世，琴台日暮云。	杜甫	琴台		0		
我劝出家辈，须知教法深。	拾得	诗 其十四		0		
儒门自多事，来此复何能。	杜荀鹤	登山寺		0		
交朋颇窥观，谓是丹穴物。	李商隐	骄儿诗		0		
日里飏朝彩，琴中伴夜啼。	李义府	咏乌		0		
无端矫情性，漫学求科试。	元稹	元和五年予官不了罚俸西归三月六日至陕府与吴十一兄端公崔二十二院长思怆曩游因投五十韵		0		
春会文昌府，思君每北看。	皎然	送杨遂初赴选		0		
青山长寂寞，南望独高歌。	于武陵	感情		0		
暑往律移秋气至，寒来露结变成霜。	敦煌曲子	其六 皇帝感辞九首		0		
染不成乾画未销，霏霏拂拂又迢迢。	吴融	秋色		0		
头角苍浪声似钟，貌如冰雪骨如松。	吕岩	七言 其一百十二		0		
深抛故园里，少种贵人家。	元稹	感石榴二十韵		0		
天远星光没，沙平草叶齐。	李贺	送秦光禄北征		0		
同在后门前，因论花好恶。	元稹	桐花落		0		
环流驰羽觞，金英妒妆嫭。	元晦	越亭二十韵		0		
仙郎小隐日，心似陶彭泽。	白居易	和钱员外早冬玩禁中新菊		0		
君不见贞元年末，驯犀冻死蛮儿泣。	白居易	新乐府 驯犀  感为政之难终也		0		
总由官断法，何须法断人。	王梵志	诗并序 其九十八		0		
祭船如祭祖，习竞如习雠。	元稹	竞舟		0		
入觐展遐恋，临轩慰来思。	李适	送徐州张建封还镇		0		
有吏夜叩门，高声催纳粟。	白居易	纳粟		0		
稳辞高位身心泰，中立明庭势利疏。	李昉	将就十章更献三首词虽愈拙诚即可矜或歌执事之风猷或导鄙人之情志愿宽捷给稍赐披寻 其一		0		
陈平亦分肉，太史竟论功。	杜甫	社日两篇 其二		0		
五木思一掷，如绳系穷猿。	李白	赠别从甥高五		0		
汉使巾车远，河阳步障陈。	李峤	锦		0		
纡馀带竹村，蚕乡足砧杵。	杜牧	题池州弄水亭		0		
东海一片白，列岳五点青。	白居易	梦仙		0		
宫髻怜新样，庭柯想旧围。	李敬方	太和公主还宫		0		
入室用机擒捉取，一丸丹点体纯阳。	吕岩	七言 其九十一		0		
柏堂新成乐未央，回来回去绕裴郎。	秾华	句		0		
唯有故人同此兴，近来何事懒相寻。	李建勋	中春写怀寄沈彬员外		0		
小弟邻庄尚渔猎，一封书寄数行啼。	王昌龄	别李浦之京		0		
羽客两三人，石上谭泥丸。	皮日休	其十四 上真观		0		
跛鳖难随骐骥足，伤禽莫趁凤凰飞。	白居易	履道西门二首 其二		0		
蝶双知伉俪，蜂分见君臣。	白居易	闲园独赏		0		
迷人终日愁衣食，费却千车力。	敦煌曲子	其八 真悟八首		0		
骄者物之盈，老者数之终。	白居易	凶宅		0		
丹崖森在目，清昼疑卷幔。	李白	茔禅师房观山海图		0		
桃李今无数，从兹愿比方。	吕敞	潘安仁戴星看河阳花发		0		
共占花园争赵辟，竞添钱贯定秋娘。	元稹	赠吕三校书		0		
惜君只欲苦死留，富贵何如草头露。	杜甫	送孔巢父谢病归游江东兼呈李白		0		
吾舅惜分手，使君寒赠袍。	杜甫	王阆州筵奉酬十一舅惜别之作		0		
愁尔一朝还到地，落在深泥谁复怜。	元稹	有鸟二十章 其七		0		
别后空愁我，相思一水遥。	李白	寄王汉阳		0		
明朝共分手，之子爱千金。	宋之问	端州别袁侍郎		0		
九宫之祀，三代莫存。	不详	郊庙歌辞 祀九宫贵神乐章 雍和		0		
你信斋戒身，本自不识你。	王梵志	回波乐 其三十		0		
闻名意惨怆，若坠牢与狴。	元稹	青云驿		0		
幽怀静境何人别，唯有南宫老驾兄。	白居易	七言十二句赠驾部吴郎中七兄		0		
横来突若奔，直上森如束。	吴融	绵竹山四十韵		0		
岭上楼台千地起，城中钟鼓四天闻。	沈佺期	从幸香山寺应制		0		
赤霞动金光，日足森海峤。	李白	经乱后将避地剡中留赠崔宣城		0		
重于通侯印，贵却全师节。	皮日休	二游诗 其一 徐诗		0		
其言虽甚鄙，可破悒悒怀。	白居易	谕友		0		
何处难忘酒，朱门羡少年。	白居易	劝酒十四首 其三 何处难忘酒七首		0		
薰琴调大舜，宝瑟和神农。	李商隐	今月二日不自量度辄以诗一首四十韵干渎尊严伏蒙仁恩俯赐披览奖踰其实情溢于辞顾惟疏芜曷用酬戴辄复五言四十韵诗献上亦诗人咏叹不足之义也		0		
但有巾挂壁，而无客叩关。	白居易	小阁闲坐		0		
归思偏消酒，春寒为近山。	羊士谔	雨中寒食		0		
萋萋露草碧，片片晚旗红。	杜甫	陪郑公秋晚北池临眺		0		
全家欲去干戈后，大国中兴礼乐初。	李昭象	山中寄崔谏议		0		
龛龙去东海，时日隐西斜。	不详	客题青龙寺门		0		
独有溱洧水，无情依旧绿。	白居易	宿荥阳		0		
食物风土异，衾裯时节殊。	元稹	酬乐天早夏见怀		0		
户牖仙山近，轩楹凤翼舒。	李虞仲	初日照凤楼		0		
况有虚白亭，坐见海门山。	白居易	郡亭		0		
积水悠扬何处梦，乱山稠叠此时情。	皎然	送皇甫侍御曾还丹阳别业		0		
晓发悲行客，停桡独未前。	李端	晓发瓜州		0		
秋至昭关后，当知赵国寒。	李贺	潞州张大宅病酒遇江使寄上十四兄		0		
一朝琴里悲黄鹤，何日山头望白云。	李峤	送司马先生		0		
睡适三尸性，慵安五藏神。	白居易	感事		0		
久客宜旋旆，兴王未息戈。	杜甫	散愁二首 其一		0		
度关云作雪，挂栈水成澌。	李洞	送龙州田使君旧诗家		0		
垂钓石台依竹垒，待宾茶灶就岩泥。	杜荀鹤	山居寄同志		0		
拟受太玄今不遇，可怜遗恨似侯芭。	皮日休	屣步访鲁望不遇		0		
品物以亨，偫迷式悟。	朱子奢	昭仁寺碑铭		0		
别有幽愁暗恨生，此时无声胜有声。	白居易	琵琶行		0		
山秋云物冷，称我清羸颜。	白居易	秋山		0		
分流来几年，昼夜两如此。	白居易	其十 和分水岭		0		
尝闻庞德公，家住洞湖水。	李白	寄弄月溪吴山人		0		
悲哉可奈何，举世皆如此。	白居易	有感三首 其一		0		
禅僧教断酒，道士劝休官。	白居易	洛下寓居		0		
缅怀朝紫陌，曾是洒朱轮。	羊士谔	巴南郡斋雨中偶看长历是日小雪有怀昔年朝谒因成八韵		0		
不触波澜招庆月，动人云雨鼓山雷。	克符道者	都颂		0		
功惭户牖，守在城池。	王勃	九成宫颂		0		
传余造化门，始悟希夷则。	吕岩	鄂渚悟道歌又记		0		
公怒飙发，挞伐击膺。	皮光业	屠将军墓词		0		
结庐迩城郭，及到云木深。	吴筠	题龚山人草堂		0		
图经宜细览，题咏卒难任。	李中	庐山		0		
空城月落方知晓，浅水荷香始觉春。	元稹	早春书情		0		
多少恨，昨夜梦魂中。	李煜	忆江南 其一		0		
世事浇浮后，艰难向此生。	朱庆馀	行路难		0		
自移西岳门长锁，一个行人一遍开。	王建	华岳庙二首 其二		0		
一方黑照三方紫，黄河冰合鱼龙死。	李贺	北中寒		0		
他筵不下箸，此席忘朝饥。	李白	寻鲁城北范居士失道落苍耳中见范置酒摘苍耳作		0		
莲虽多兮无厥类，兰徒芳兮何足贵。	李德裕	重台芙蓉赋附歌		0		
背飞鹤子遗琼蕊，相趁凫雏入蒋牙。	杜甫	夔州歌十绝句 其五		0		
咫尺不相见，旱久多黄尘。	李商隐	行次西郊作一百韵		0		
千岁乃一出，喜贺主人翁。	白居易	其四 和大觜乌		0		
望远涉寒水，怀人在幽境。	皎然	白云上人精舍寻杼山禅师兼示崔子向何山道上人		0		
出为差科头，入为衣食主。	白居易	自咏五首 其二		0		
才看芳草歇，即叹凉风起。	李频	下第后屏居书怀寄张侍御		0		
蔼蔼花蕊乱，飞飞蜂蝶多。	杜甫	绝句六首 其二		0		
兵车骚动，道途繁会。	宋申锡	义成军节度郑滑颍等州观察处置等使金紫光禄大夫检校司徒使持节滑州诸军事兼滑州刺史御史大夫上柱国陇西县开国公食邑一千八百户李公德政碑铭		0		
诗句偶未得，酒杯聊久持。	元稹	和乐天秋题曲江		0		
药用真水精，八数为第一。	李玄光	还丹口诀		0		
天歌将梵乐，空里共裴回。	李峤	奉和九月九日登慈恩寺浮图应制		0		
舍月窟，伏棐几。	李煜	金铜蟾蜍砚滴铭		0		
乍敛看如睡，初开问欲应。	王建	同于汝锡赏白牡丹		0		
犹有僧虔多蜜炬，不辞相伴到天明。	皮日休	偶留羊振文先辈及一二文友小饮日休以眼病初平不敢饮酒遣侍密欢因成四韵		0		
中庭有奇树，种来三十春。	白居易	宿紫阁山北村		0		
桃花昨夜撩乱开，当轩发色映楼台。	丁仙芝	馀杭醉歌赠吴山人		0		
巫咸不可问，邹鲁莫容身。	杜甫	上韦左相二十韵		0		
京口斜通江水流，斐回应上青山头。	皎然	买药歌送杨山人		0		
耕却春秋田，驾车长安道。	李如实	落韵诗 其一		0		
高风吹不尽，远树得偏多。	处默	远烟		0		
煌煌文明代，俱幸生此辰。	王建	送薛蔓应举		0		
上官权许与，失意见迁斥。	杜甫	两当县吴十侍御江上宅		0		
南州林莽深，亡命聚其间。	岑参	阻戎泸间群盗		0		
人心若波澜，世路有屈曲。	李白	古风 其二十三		0		
日脚欲落备灯烛，风头渐高加酒浆。	白居易	九日宴集醉题郡楼兼呈周殷二判官		0		
鱼跳何事乐，鸥起复谁惊。	白居易	春池闲泛		0		
剑去池空一水寒，游人来此凭栏干。	无名氏	咏剑池		0		
镜愁玄发改，心负紫芝荣。	宋之问	入泷州江		0		
用却春风力几多，微霜逼迫何容易。	李咸用	悲哉行		0		
先生先生莫外求，道要人传剑要收。	吕岩	绝句 其二十八		0		
假饶富贵似石崇，也遭白发驱催老。	敦煌曲子	其五 调名本意五首		0		
无奈朝来寒雨，晚来风。	李煜	相见欢 其一		0		
不食胡麻饭，杯中自得仙。	白居易	宿张云举院		0		
轻衣稳马槐阴路，渐近东来渐少尘。	白居易	赠皇甫宾客		0		
恭闻魏夫人，群仙夹翱翔。	杜甫	望岳		0		
虬凤吐奇状，商徵含清音。	司马逸客	雅琴篇		0		
宗祧是寄，礼乐其亨。	不详	郊庙歌辞 享章怀太子庙乐章 迎俎酌献		0		
玉匣金为缕，银钩石作铭。	李峤	武三思挽歌		0		
谁能颂之，我请颂夫。	元结	二风诗十篇 治风诗五篇 其三 其三 至劳		0		
在山泉水清，出山泉水浊。	杜甫	佳人		0		
不如早殡地，愁苦一时散。	王梵志	回波乐 其十二		0		
愁见游从处，如今花正繁。	李端	逢王泌自东京至		0		
宁惟石烂，观睹金流。	王绩	宁戚扣牛角歌赞		0		
刺史旟翻隼，尚书履曳凫。	白居易	和微之春日投简阳明洞天五十韵		0		
勿言根未固，勿言阴未成。	白居易	新栽竹		0		
石窌恩荣重，金吾车骑盛。	王维	故南阳夫人樊氏挽歌		0		
尔禽啄木，恶蠹伤木。	浙东众诗人	鲍防《云门寺济公上方偈序》 缺名《山啄木偈》		0		
