allusion	variation_list
金门（扬雄）	['金马门', '金门', '金马', '玉堂金马']
梁鸿（孟光，梁鸿）	['梁鸿', '举案齐眉', '梁孟', '鸿妻', '孟光贤', '孟光举案', '避地梁鸿', '梁鸿隐', '伯鸾舂', '伯鸾德耀', '孟妇', '德耀嫁梁鸿', '梁鸿同隐', '庑下舂', '梁叟', '孟光案', '孟光眉', '伯鸾志', '梁氏夫妻', '事伯鸾', '齐眉食', '伯鸾携德耀', '伯通隐', '操舂举案', '杵臼得梁鸿', '鸿舂', '孟光意', '伯鸾', '伯鸾寄食', '伯鸾去国', '赁舂', '赁庑', '孟光', '南适梁叟']
仙舟（李膺，郭太）	['神仙侣', '李膺舟', '李仙', '李郭舟', '仙侣同舟', '郭舟', '膺舟', '李膺船', '郭泰舟', '李郭仙', '李郭同舟', '郭泰船', '仙舟', '元礼仙', '登仙郭', '李郭游', '李膺仙', '神仙友', '共载比神仙', '郭去半舟闲', '李郭神仙', '李郭小船', '洛滨仙伯', '人在舟中便是仙', '送别仰神仙', '星棹依元礼', '元礼同舟', '登仙同元礼', '李郭同船', '同舟李膺', '同舟神仙侣', '舟上欲仙', '舟中是仙']
莲府（庾杲之，王俭，萧缅）	['芙蓉幕', '红莲幕', '莲沼', '莲府', '莲花幕', '绿水红莲', '泛芙蓉', '莲花府', '俭府', '泛绿依红', '幕中莲', '幕府莲', '花府', '王俭府', '芙蓉客', '莲幕', '一朵红莲', '庾杲莲', '红莲府', '红莲开幕', '俭池', '俭莲', '绿水宾', '幕府红莲', '红莲幕客', '红莲书记', '依莲泛水', '泛莲幕府', '红莲入幕宾', '绿水池中宾佐', '幕下莲花', '王俭莲幕']
文君（卓文君，卓王孙，司马相如）	['风流地', '琴意', '卓家', '弦心', '琴挑', '弹凤', '凤媒', '琴心', '琴心先许', '动文君', '琴心误', '文君婿', '卓家琴', '锦里琴心', '漫寄心', '琴中凤语', '通琴意', '文君望久', '文君知曲意', '闻琴解佩', '夜扣相如扉', '卓氏', '卓氏琴台', '座上琴心', '琴寄情', '文君', '相如琴心', '相如意蜜', '卓氏寡']
琼树	['琼树', '琼枝']
衡门	['衡门', '衡闱']
献赋（刘彻，司马相如，扬雄，杨得意）	['相如赋', '杨得意', '荐相如', '献甘泉', '问长卿', '献赋', '荐长卿', '献子虚', '杨意', '逢杨意', '相如才调', '无人荐子虚', '荐临邛', '狗监', '狗监说相如', '狗监揄扬', '相如投赋', '遭逢狗监', '赋因杨意', '狗监荐才子', '君王问相如', '投赋', '相如从长杨']
倾城（刘彻，李延年）	['倾城色', '倾国倾城', '绝代佳人', '绝代人', '倾城倾国', '名花倾国', '倾人城', '一顾倾城', '倾城国', '思倾国', '佳人绝世', '倾国风流', '倾城', '倾国', '国自倾', '绝世歌', '延年妹', '倾城目', '绝代北方人', '倾北方', '一顾倾吴', '绝代幽人独立', '倾人情']
黄石（张良，黄石公）	['帝王师', '一编书', '黄石书', '取履', '跪履', '黄石老', '堕履', '师黄石', '圯上书', '圯桥进履', '圯上一编', '黄公略', '谷城公', '谷城公', '黄石履', '黄石传书', '桥边黄石', '圯上一编书', '谷城翁', '圯桥书', '圯上履', '黄石策', '圯上人', '谷城文', '黄石术', '黄公', '黄石', '圯编', '圯桥取履', '传书黄石', '老人书一编', '桥下书曾受', '取履桥', '素书黄石', '为人取履', '文成履', '一编书是帝王师', '一编圯下', '圯桥屦', '圯桥石杳', '圯上家传', '堕屦', '黄石三略', '黄石推贤', '老人桥上迹', '老人书编', '老人遗履', '桥头遗书', '桥下受书', '失却老仙期', '石公', '圯桥履坠', '圯上', '子房取鞋']
范蠡	['范大夫', '相越平吴', '范蠡']
挂冠（逢萌）	['挂衣冠', '挂朝衣', '冠挂', '挂冠', '尘冠挂', '挂冠服', '挂两梁冠', '挂触邪冠', '挂冠裂冕', '挂冠侣', '挂冠贞白', '逢萌解冠', '挂官辞朝', '华阳挂冠']
苏武（刘彻，苏武）	['苏武节', '苏子卿', '苏武牧羊', '羝乳', '白发丹心', '啮雪', '雪窖冰天', '餐毡', '节旄落尽', '苏武归', '牧羝人', '白头苏武', '苏卿持节', '餐毡雪', '啮毡', '苏武窖', '苏武毡', '苏子节', '子卿持节', '海上看羊', '十九年归', '残毡拥雪', '汉节', '看羊属国', '牧羝虽乳', '属国餐毡', '苏武看羊', '雪窖羝羊', '北海朱旄', '餐毛', '啖雪龙庭', '羝乳年', '窖里雪毡', '牧羊臣', '驱羊旧节', '乳羝属国', '塞北驱羊', '属国毡', '苏君', '苏郎卧处', '苏郎有节', '苏卿执', '苏武争禁十九秋', '雪里餐毡', '阴山海上窖群中', '子卿白首', '子卿全汉节', '汉节支持', '牧羊拢漠', '苏卿牧羝', '苏武', '苏武在天山', '握节', '握雪餐', '误了残毡拥雪', '子卿']
织女（武丁，牛郎，织女）	['乌鹊桥', '牵牛织女', '天上佳期', '织女牵牛', '填桥', '乌鹊填', '牛女夕', '鹊填河', '会双星', '织女桥', '痴牛騃女', '喜鹊桥', '牵牛会', '银汉渡', '鹊桥人', '银河灵鹊', '借鹊', '鸟鹊桥', '鹊桥', '鹊桥牛女', '织女', '丹鹊桥', '帝子桥', '飞桥驾鹊', '飞向银河', '耕慵织懒', '河汉星桥', '河鹊填桥', '怜飞鹊', '牛女', '女牛', '七夕女', '泣分河', '桥横鹊', '鹊误仙盟', '天女', '天上弄机人', '星解聚', '星渚桥空', '银河响幽咽', '织女皇姑', '织星桥', '酬鸟鹊', '绛河度牵牛', '灵匹', '牛女鹊桥', '七夕', '桥成鸟鹊', '双星', '天孙', '填成鸟鹊', '填鸟鹊', '星度', '星桥', '野鹊并影', '银河鹊桥']
阮郎（刘晨，阮肇）	['桃源洞', '饭胡麻', '桃花洞口', '刘晨', '阮肇', '桃源梦', '阮刘', '天台约', '天台刘阮', '流水天台', '阮郎', '刘郎', '天台女', '晨肇', '天台花', '刘郎恨', '刘阮入天台', '阮洞', '阮郎迷', '仙洞客', '刘郎路迷', '刘郎迷路', '迷路为花开', '刘晨再到', '刘郎仙苑', '刘阮二郎', '阮家', '阮郎迷路', '阮郎前度', '天台桃径', '香饭胡麻', '花洞鱼艇', '刘郎曾遇', '刘郎应念', '刘阮', '仙源']
汨罗（屈原）	['楚泽魂', '楚魄', '楚臣悲', '灵均泪', '湘水魂', '汨罗魂', '怀沙', '汨罗', '三闾魂', '沈汨', '沈湘人', '投湘浦', '水底魂', '沈楚臣', '楚江沈魄', '孤臣水底魂', '汨罗愁独', '汨罗恨', '屈平魂怨', '屈原沉', '投汩', '投汨', '葬鱼', '葬鱼人', '沈楚泽', '沉楚臣', '沉湘', '楚江沉魂', '三闾沉绝', '三闾自沈', '投汨自沈', '投湘', '湘累']
青云路	['青云路', '青云器', '青云志', '青云人', '青云直上', '青云自致', '飞上青云', '自致青云上', '青云料', '魏雎张禄', '自致青冥上', '青云志应']
龙门	['跳龙门', '高跃龙津', '鱼变', '登龙', '龙门', '为龙', '鱼跃', '登门', '化龙']
济川（傅说，殷高宗）	['济巨川', '巨川舟', '傅舟', '傅说舟', '川上楫', '舟楫', '济川', '巨川才']
宋玉墙（司马相如，宋玉）	['东家女', '东邻女', '东邻子', '窥宋玉', '登墙', '宋玉墙', '宋家东', '窥宋', '窥邻', '宋玉墙头', '宋家邻', '宋玉邻', '宋玉东邻', '宋玉墙东', '施朱施粉', '宋邻', '宋玉东家', '西邻宋', '墙东宋', '窥宋东墙', '登墙女', '东邻妙', '东墙窥宋', '粉墙偷眼觑', '红欹宋玉', '下蔡倡', '楚女窥墙', '邻宋玉', '莫把一分增减', '墙头岑寂', '三年不顾', '三年送目', '宋邻东畔', '西邻公子', '西邻玉', '东墙', '邻墙招', '慕宋', '太赤', '偷窥笑眼', '西邻宋家', '增之太长，减之太短']
涸鳞（庄子）	['西江水', '涸鳞', '涸鲋', '穷辙', '枯鳞', '涸鱼', '辙鲋', '涸辙鱼', '斗升水', '涸辙鲋', '辙中鱼', '辙中鳞', '失水鱼', '贷监河粟', '活枯鱼', '涸辙之鲋', '索枯鱼', '泥辙', '活穷鳞', '肆鳞', '东溟臣', '枯辙', '穷鳞', '守穷辙', '望斗升', '慰穷鳞', '西江润', '辙鲋涸', '辙中枯', '波臣守辙', '槁鲍肆', '涸鳞去辙', '监河贷粟', '借斗水', '渴一泓', '枯鱼', '穷辙鲋', '失水鲋', '挽西江苏涸辙', '委辙', '西江水救鱼', '西来斗水', '煦辙', '辙鲋忧', '庄周贷粟', '斗水', '涸辙', '卧辙']
惠休（汤惠休，鲍照）	['汤公', '休上人', '休师', '汤师', '汤惠休', '汤休', '休公', '惠休']
小山（刘安，王逸）	['小山丛桂', '小山桂', '小山词', '招隐赋', '小山招隐', '小山骚客', '小山幽咏', '小山招', '淮南招隐', '山中桂树', '攀桂枝', '守桂丛', '小山', '小山隐', '桂树隐', '留人桂', '小山桂枝', '桂丛', '桂树留人', '桂树游', '淮南春草赋', '淮南旧桂丛', '淮南幽桂', '淮阳桂', '攀桂', '山能招隐', '山中有桂枝', '小山高赋', '小山志', '丛桂招隐', '桂枝小山传', '小山碧芜春句']
鲛人	['鲛人泪', '鲛泪', '鲛人珠', '鲛丝', '珠有泪', '泣珠', '泪成珠', '卷绡人', '泪绡', '泣珠人', '鲛人织绡', '波泪', '鲛人', '鲛绡', '泪作珠', '泉客泪', '鲛人泣珠', '泉客珠', '洒泪成珠', '海上得绡', '蛟人珠', '鲛工', '蛟女绢', '鲛宫物', '鲛帘', '鲛盘千点', '泪有鲛人', '泣珠报恩', '泉客泣', '冰绡清泪', '鲛人雨泣', '鲛珠', '绡夺烟雾', '玉盘进泪', '珠进泪', '珠泪']
西施（夫差，范蠡，西施）	['馆娃宫', '浣纱人', '采香径', '浣纱石', '馆娃歌舞', '苧罗人', '浣纱神女', '名娃金屋', '吴宫妃', '馆娃', '苧萝', '娃宫', '西施', '浣纱', '西施倾吴', '西子', '香径']
星使（李合）	['星辰动', '使者星', '星车', '星传', '使臣星', '星使', '使星', '驿骑如星', '两星使', '入蜀星', '星使双飞', '星是使', '两使车', '流星汉使尊', '使车星', '星随使者车', '星文动九霄', '星下', '星轺', '一星', '二星', '史兴鞍', '双星', '万里星隋', '星去']
大风歌（刘邦）	['大风歌', '守四方', '海内风', '歌大风', '威加四海', '猛士歌', '大风诗', '大风词', '大风曲', '忆大风', '沛歌风', '大风歌沛邑', '云飞风起', '猛士云飞', '猛士', '沛公大风', '歌风', '歌汉风']
柏梁	['柏梁篇', '柏殿', '柏梁宴', '柏梁', '柏台']
巢由（巢父，许由）	['巢由', '巢许', '巢居子', '巢许窟', '巢由故友', '上流饮牛人', '巢父隐居', '牵犊翁', '牵犊饮上流']
叔夜（嵇康）	['嵇叔夜', '嵇中散', '嵇家', '叔夜', '嵇康']
珠履（黄歇）	['珠履三千', '珠履客', '三千珠履', '珠履三千客', '三千履', '趿珠履', '珠履', '真珠履', '珠为履', '履明珠', '楚客豪华', '春申客屦', '珠成履']
谢家兴（谢安，谢道韫）	['谢雪', '道韫', '咏絮才', '堆盐', '絮因风', '盐絮', '散盐', '撒盐飞絮', '吟絮', '拟盐', '柳絮才高', '道蕴诗', '谢女题诗', '雪里题诗', '谢家飞絮', '谢家轻絮', '谢家兴', '谢庭飞雪', '谢庭诗咏', '盐牵谢女才', '道韫咏雪', '谢庭风韵', '风絮谢娘', '赋雪词', '柳花篇', '柳絮联章', '起风飞柳', '散盐飞絮', '谢家幽赏', '谢女雪飞香', '谢庭飞絮', '谢庭赏', '雪比撒盐', '雪比盐', '雪絮因风', '雪阵春絮乱', '盐絮家风', '咏留飞絮', '缘风絮韫', '道韫清芬', '风絮韫', '赋雪', '拟盐句', '撒盐', '谢家拟絮', '谢女咏雪', '谢氏六出花', '谢庭赏雪', '谢庭吟诗', '谢庭争道絮因风', '雪絮彫章', '雪夜诗成', '咏雪妹']
岘首（羊祜）	['堕泪碑', '岘亭', '羊公碑', '泪碑', '岘山泪', '登临泪', '岘首', '羊公碣', '堕泪碣', '堕泪岘山', '堕泪万家', '登岘', '望岘沾裳']
谢客（谢灵运）	['客儿', '谢客']
卧龙（徐庶，诸葛亮）	['卧南阳', '南阳卧', '卧龙', '诸葛庐', '南阳高卧', '高卧南阳', '龙卧', '龙如诸葛', '草庐无人顾', '葛龙卧', '诸葛号龙']
逝川（孔子）	['逝者如斯', '叹逝川', '阅川', '临长川', '逝川', '逐逝川', '随逝川', '川上逝', '委逝川', '等逝川', '逝水', '似川逝', '逝波', '叹逝', '仲尼在川上', '临川孔尼叹']
河阳（潘岳）	['河阳花', '种桃李', '满城花', '花满县', '河阳令', '河阳一县花', '潘花', '满县花', '河阳满县花', '桃李河阳', '潘令花', '潘县花', '花成县', '潘岳花', '潘岳县', '潘令在河阳', '河阳', '潘令河阳', '种花满县', '花封贤令尹', '花明潘子县', '潘安县', '潘令县中花', '桃李一城春色', '栽花潘令', '栽花潘岳', '花情似河阳', '花县', '花映河阳', '要花满县']
获麟（孔子，鲁哀公）	['吾道穷', '泣麟', '伤麟', '绝麟', '麟绝', '抱麟', '悲麟', '感麟翁', '叹凤嗟麟', '仲尼穷', '西狩麟', '道将穷', '麟获', '获麟', '大野麟', '鲁郊西狩', '麒麟绝句', '麒见处', '麟终', '鲁获麟', '麟笔', '伤麟叹凤', '宣尼袂', '嗟麟泣', '麟凤悲歌', '麟何来哉', '麟穷', '鲁麟绝', '泣麟嗟凤', '泣麟老人', '泣西狩', '伤凤麟', '道穷', '麟非其时', '麟凤', '麟经', '宣尼掩袂', '反袂伤麟']
越吟（庄舄）	['越人吟', '庄舄吟', '越客吟', '越讴', '吟越', '越吟', '庄舄越吟', '舄吟', '越声长苦', '庄舄哀', '庄舄病', '越客音', '病客庄', '病添庄舄', '闻越声', '吟生南越思', '吟同楚执圭', '庄舄泪', '庄舄讴', '庄舄思乡', '楚执圭吟', '思乡庄舄', '思越', '越宾歌', '庄舄悲吟']
蓬蒿（张仲蔚，刘龚）	['长蓬蒿', '张仲蔚', '没蓬蒿', '仲蔚蒿', '蓬蒿', '蒿菜', '仲蔚园', '终岁杜门', '仲蔚庐', '孟公不在兹', '张蔚庐', '蒿莱闭庐', '衡门蒿莱', '依蒿篷', '仲蔚穷居']
青琐	['青琐']
鸿雁（刘彻，苏武）	['传雁', '雁帛', '雁传书', '鸿雁书', '空中书', '上林雁', '传书雁', '天涯芳信', '雁使', '鸿雁北来', '信鸿', '雁足传书', '上林书', '书鸿', '秋鸿春燕', '寄锦书', '寄南飞鸿', '上林消息', '送书雁', '系雁书', '鸿雁', '雁来音信', '云边翼', '断鸿书', '归鸿书', '寄南飞翼', '寄双飞燕', '上林鸿雁', '传帛', '传雁足', '断鸿难倩', '寄书鸿雁', '见雁思乡信', '漫写羊裙', '燕去鸿归', '音书凭过雁', '云间一纸书', '北海雁书', '北雁连书', '归鸿无信', '鸿来雁度', '裂帛待燕鸿', '裂帛附双燕', '南雁传尺素', '南雁惠佳音', '难觅征鸿', '认上林欲下', '上林过雁', '上林书绝', '上苑传书', '书到雁应还', '书归玉塞', '书凭燕翼', '书倩秋鸿', '书因北雁稀', '望飞燕', '系边书', '系书', '系书翠羽', '衔来相思字', '乡书雁少', '雁封', '雁鸿附书', '雁书', '雁足', '音信绝南鸿', '子卿归信', '宾鸿', '帛书', '赤书凭雁', '愁怀逐归鸿', '独雁征书', '断鸿谁倩', '飞燕归信', '归鸿谁寄', '过鸿来燕', '鸿羽芳信', '寄情无雁', '寄书雁来时', '寄书雁翼', '借片鸿', '锦书寄飞翼', '空回春雁', '凭鸿', '塞鸿传书', '塞雁音书', '诗凭燕翼', '书托过鸿', '书无过雁', '书无去鸿', '书系双飞翼', '书雁', '朔燕传书', '苏武逢雁', '微辞寄归雁', '吴鸿传信', '系帛', '雁字', '燕翎寄笺', '弋雁问消息']
东山妓（谢安）	['东山妓', '谢公携妓', '谢妓', '安石妓', '谢家妓', '妓娱安石', '携妓溪山', '谢郎妓', '安石同乐']
康乐（谢灵运）	['谢康乐', '康乐']
弃繻（终军）	['弃繻生', '终军弃繻', '弃繻', '学终军', '终军少', '弃关繻', '弃繻入关', '识旧吏', '折繻', '关门弃繻', '抛繻入关', '弃终繻', '终军', '终童']
王粲（王粲）	['王粲', '仲宣']
绿珠（石崇，绿珠）	['绿珠楼', '坠楼人', '堕楼人', '金谷妓', '坠残红', '金谷堕楼', '金谷堕楼人', '绿珠红粉', '坠楼', '遍索绿珠', '绿珠', '坠楼酬恩']
卫霍（卫青，霍去病）	['卫霍', '霍骠姚', '卫青']
杨朱泣（杨朱）	['杨朱泣', '哭路歧', '杨朱泪', '泣路歧', '亡羊路', '杨朱路', '泣歧', '泣歧路', '嗟歧路', '歧路亡羊', '临歧泣', '临歧泪', '临歧恨', '临歧涕泪', '世间歧路', '杨公叹', '杨子叹', '泣路者', '亡羊多歧', '杨歧泣', '杨朱拭泪', '多泪杨朱', '多歧', '多歧羊', '见路歧', '临歧', '路歧', '歧路', '亡羊', '亡羊路歧', '姓杨足泪', '杨朱哀歧', '怨多歧']
荷衣	['楚服', '荷衣', '荷裳']
金乌	['金鸦', '金乌', '三足乌', '赤鸟', '天上乌', '阳乌', '三足老鸦', '日乌', '三足之鸟', '虾蟆食月', '朱鸟', '日中侣', '阳鸟']
陆沉	['陆沉']
金张（张安世，许广汉，金日磾，史高）	['金张', '金张许史', '金张馆', '七叶貂', '许史家', '许史庐', '七叶汉貂', '七叶貂蝉', '许史', '七叶贵']
瑶池（周穆王，西王母）	['瑶池', '瑶水', '瑶池宴']
潘郎（潘岳）	['潘安仁', '潘郎', '慕潘', '潘岳果', '潘岳貌', '掷果河阳', '掷赠', '貌胜潘', '潘郎貌', '潘令舆', '窥潘掾', '乱果掷行车', '潘安果', '潘果', '潘郎璧', '潘郎车', '潘郎挟弹', '潘郎掷果', '潘仁载果', '潘子貌', '掷安仁', '儿童抛砖', '潘岳', '投潘岳果', '掷果']
商歌（宁戚，齐桓公）	['白石烂', '饭牛歌', '商声讴', '南山白石', '扣角歌', '宁戚歌', '宁戚饭牛', '叩角歌', '宁戚牛', '南山石烂', '白石吟', '扣牛角', '扣角而歌', '击辕歌', '叩牛', '牛下歌', '叹短衣', '歌牛下', '宁牛', '商歌', '东门牛', '短衣扣角', '叩角哀', '扣角', '宁子商歌', '悲牛角', '击角歌', '叩牛歌', '南山戚', '齐歌', '舍牛相齐', '饭牛', '长歌叩辕']
羲和	['羲和']
四愁（张衡）	['青玉案', '锦绣段', '四愁诗', '貂襜褕', '报珠', '平子四愁', '张衡愁', '四愁', '酬锦绣', '平子诗', '张衡四愁', '明珠青玉', '金错赠', '锦绣赠', '吟青案', '报君无玉案', '错刀赠', '金刀绣段', '七字当琼浆', '绣段诒', '遗四愁', '张衡四愁诗', '珠玑兼绣段', '愁心系平子', '每人错刀投', '平子赋愁', '四愁人']
仲宣楼（王粲，刘表）	['仲宣楼', '登楼赋', '赋登楼', '王粲登楼', '王粲楼', '王粲赋', '登楼王粲', '登楚', '仲宣哀', '王粲哀', '粲登楼', '思乡王粲', '王粲南登', '粲公楼', '登临仲宣', '赋异乡', '公子登高赋', '王粲赋归欤', '王生悲异国', '仲宣怀远', '赋因玉阁笔', '王粲殊方泪']
傲羲皇（陶潜，伏羲氏，羲和）	['羲皇上', '北窗风', '傲羲皇', '卧北窗', '北窗眠', '北窗凉', '羲皇人', '北窗高卧', '北窗卧', '羲皇上人', '羲皇以上人', '北窗高枕', '北窗一枕', '陶窗', '卧羲皇', '慕羲皇', '上皇人', '白日羲皇', '羲皇情', '羲皇侣', '傲羲轩', '北窗卧羲皇', '北窗羲皇', '北窗寄傲', '老北窗', '羲皇叟', '宇宙一北窗', '北牖羲皇', '人似上皇', '羲和人', '北窗睡美', '闭门寻羲皇', '风期结陶叟', '高卧偃羲皇', '高枕晤羲皇', '靖节窗风', '笑羲皇', '直到羲皇世', '身致羲皇上', '陶令塌', '陶令羲皇']
九重门	['九重城', '九重门', '君子门九重']
投辖（陈遵）	['陈孟公', '尚书期', '投辖饮', '投车辖', '陈筵', '下重关', '投辖井', '陈遵投辖', '投辖情', '闭门投辖', '投辖', '井投辖', '孟公留', '脱辖', '客投辖', '留客辖', '车辖投井', '关门防客走', '过陈遵饮', '后阁走穷宾', '孟公好客', '孟公辖', '有井留车', '辕车解轮', '陈遵', '陈遵重交', '辖全']
王孙草	['王孙草', '王孙芳草', '王孙春草', '草怨王孙', '王孙何在', '芳草不成归', '王孙寻芳草', '王孙未还']
莫愁	['卢家少妇', '莫愁艇子', '莫愁', '嫁卢']
沮溺（子路，孔子，桀溺，长沮）	['长沮桀溺', '沮溺心', '沮溺耕', '问津', '沮溺', '津难问', '偶沮溺', '耦耕身', '吾非斯人谁与归', '效沮溺', '沮叟', '耦耕', '耦耕夙约', '门长沮', '问津人返', '长沮溺']
谢公（谢灵运）	['谢公', '灵运', '谢守']
二疏（疏受，疏广）	['疏还', '疏去', '二疏', '疏氏', '父子东归', '疏傅', '疏广饯', '东宫二傅', '二疏志', '疏傅不朝', '疏家父子', '疏受意', '早退不如疏', '二疏辞官', '都门饯', '东门帐饮', '汉庭疏', '东门贤父子', '二疏乡里', '二疏还乡', '大疏', '两疏', '殊受辞荣', '疏广']
谷口（郑朴）	['郑子真', '岩耕', '谷口耕', '耕岩', '耕谷口', '谷口子真', '寻谷口', '子真谷口', '谷口躬耕', '躬耕谷口', '谷口', '谷口樵归', '谷口真', '郑生谷', '岩石卧', '郑谷', '谷口郑夫子', '谷口终身隐', '生涯如谷口', '子真矜谷口', '子真', '子真谷口耕']
成蹊（李广）	['桃李无言', '桃李蹊', '桃李成蹊', '桃李不言', '桃李径', '无言桃李', '桃蹊李径', '成蹊桃李', '桃李言', '满蹊桃李', '桃李无情', '李下蹊', '能言桃李', '成蹊', '将军桃李', '李无言', '芳菲不为言', '桃李无蹊', '李径成蹊', '李蹊', '门下成蹊', '蹊为李广', '桃李多言', '桃阴旧蹊', '无语成蹊']
鸱夷子（范蠡）	['鸱夷子', '范子名移', '鸱夷变姓名', '鸱夷一去', '鸱夷子皮', '一舸鸱夷']
步兵（阮籍）	['阮步兵', '步兵厨', '步兵酒', '步兵饮', '步兵校尉', '阮氏酒', '爱酒步兵', '步兵橱', '步兵饮酒', '军厨酒', '嗜酒步兵', '为酒求官', '兵厨', '兵厨佳酿', '步兵', '步兵爱酒', '步兵觞']
倚门（王孙贾）	['门闾望', '倚门', '倚堂门', '慈颜望久']
玉人（卫玠，裴楷）	['玉山行', '驾小车', '对玉山', '行玉山', '玉人', '卫玠车', '映玉山', '玉人车', '裴玉', '逐羊车', '羊车', '卫玠羊车', '璧人车', '乘羊入市', '夫向羊车觅', '聚车看卫玠', '倾城看杀', '看杀', '童子驭车', '卫玠洛阳车', '小羊车', '羊车并载', '玉色映市人', '嬉战羊车', '玉山映人', '看杀玉车人', '羊驾小车']
愚谷（齐桓公）	['愚公谷', '愚谷', '谷名愚', '谷愚', '谷中愚', '谷号愚', '愚公', '栖隐愚公', '愚公住谷']
草玄（扬雄）	['草太玄', '子云玄', '草玄人', '草玄', '白首太玄经', '太玄', '草玄徒', '辛苦作太玄', '白发翻经', '汉阁磷缁', '守玄', '雄文独玄', '子云自守']
獬豸（楚文王）	['獬豸冠', '冠豸', '戴豸', '神羊触', '獬豸触邪', '獬豸威', '簪豸', '触邪', '拔豸', '触豸', '神羊角', '獬豸姿', '獬豸', '豸冠', '豸角']
鹡鸰	['鹡鸰原上', '鹡鸰', '鸰原', '脊令']
君平（严君平，严遵）	['问君平', '君平卜', '蜀平', '成都卜', '严遵', '蜀严', '成都卖卜', '君平卖卜', '严平', '君平帘下', '严扬', '寂寞君平', '帘下君平', '百钱卜肆', '卜肆贫', '蜀中夫子', '严家', '严君卖卜', '百钱问君平', '卜肆成都', '卜肆寂寞', '君平', '君平市隐', '君平说卦', '严君卦', '严君开封']
平阳（刘彻，平阳公主，卫子夫）	['平阳', '平阳第']
鲁连（鲁仲连）	['鲁仲连', '鲁连']
子猷	['子猷']
信陵（魏无忌）	['信陵君', '魏公子', '信陵', '信陵家世', '无忌']
刀州（王浚）	['刀州', '梦刀', '三刀梦', '梦益州', '刀州梦', '三刀入梦', '入梦三刀', '三刀', '刀州入梦', '三刀喜', '益部刀', '刀州昔梦', '三刀得州']
庾信哀（庾信）	['万斛愁', '庾兰成', '庾信哀', '江关词赋', '庾信愁', '兰成词赋', '庾郎愁', '庾信赋', '暮年诗赋', '庾愁', '子山词赋', '兰成憔悴', '庾郎愁赋', '哀庾信', '庾郎憔悴', '子山愁', '子山赋', '萧瑟兰成', '兰成老去', '伤心庾开府', '愁损兰成', '老去兰成', '愁入庾肠', '愁入庾郎句', '愁损庾郎', '空老兰成', '兰成愁悴', '兰成久旅', '庾郎愁绝', '庾生赋', '庾信愁赋', '子山流落', '惆怅庾公', '赋浇愁', '庾鬓斑', '庾郎离绪', '庾郎清愁', '庾郎吟愁赋', '庾信哀赋']
飞将（李广）	['故将军', '飞将军', '汉飞将', '霸陵醉尉', '龙城飞将', '醉尉呵', '李飞将', '醉尉嗔', '飞将', '灞陵夜猎', '龙城守', '灞陵呵夜', '灞陵老将', '灞亭谁畏李将军', '耽酒尉', '犯夜醉归', '呵止故将军', '轻鞭犯夜', '亭逢李广骑', '小尉呵', '夜行触尉', '醉尉', '醉尉怒呵', '灞陵故将军', '困醉尉', '轻鞍犯夜', '亭逢李广', '醉尉呵李广']
五色笔（张协，江淹，郭璞，丘迟）	['五色笔', '五色毫', '江淹笔', '江淹梦', '江毫', '江淹才尽', '江笔', '胸中锦绣', '江锦', '江淹梦笔', '江郎锦', '邱迟锦', '丘迟锦', '梦笔', '才减江淹', '才尽', '彩毫还郭璞', '尺锦才情', '腹内胎生异锦', '景阳锦', '梦淹笔', '蜀锦词华', '文作锦', '彩笔', '残锦', '锦段残', '梦与邱迟', '梦与丘迟', '梦徵残锦', '瑞锦残', '文章腹，千机锦', '一枝色笔还郭璞']
十二楼	['十二楼', '五城十二楼', '十二城', '琼楼十二', '十二玉楼', '玉楼十二', '阆风玄圃', '层城十二楼', '阆风苑', '十二层城', '玉京十二楼', '阆圃', '层城', '昆阆', '阆风', '阆风观', '璚楼十二', '十二宫楼', '曾城', '阆苑', '玄圃殿', '昆山', '昆崙仙山', '五城', '玉楼']
穿杨（养由基）	['百步穿杨', '穿杨叶', '养由', '穿杨箭', '穿杨', '射叶', '杨叶弓', '由弓', '百中难', '楚臣弓', '穿杨的', '惊杨叶', '愧由基', '破叶箭', '杨叶百穿', '杨叶愁', '养基抚弦', '养由弓箭', '养由弦', '由基箭', '由基控繁弱', '百发碎柳', '穿叶', '一叶先穿']
伏波（路博德，马援）	['马伏波', '马将军', '伏波', '马援']
屈原	['楚大夫', '屈大夫', '灵均', '屈平', '屈原', '三闾']
细腰（楚灵王）	['细腰宫', '楚宫腰', '小腰肢', '楚女腰', '细腰', '宫腰细', '楚腰', '楚宫细腰', '楚国纤腰', '楚女纤腰', '宫腰束素', '细腰争舞', '纤腰学楚', '细腰池馆', '宫腰', '腰细']
弦歌（子游，孔子）	['试牛刀', '武城弦歌', '武城弦', '牛刀割鸡', '弦歌宰', '解牛刀', '弦歌', '割鸡手', '牛刀发硎', '武城鸡', '惜牛刀', '牛刀', '牛刀小邑', '武城', '武城割鸡', '武城声', '割鸡', '小邑割鸡']
题桥（司马相如）	['驷马车', '驷马高车', '乘驷马', '题柱客', '驱驷马', '题桥志', '司马题桥', '驷马归', '题桥柱', '相如拥传', '题柱', '相如驷马归', '长卿驷马', '题桥', '乘驷马归', '关门驷马', '含羞入剑关', '长桥题柱', '车骑重归', '骋驺引', '赤车蜀道', '赤车迎相如', '登桥柱题', '剑阁题词', '驷马炫乡关']
